Tier,Team,Name,Role,Game W,Game L,Game T,Assault W,Assault L,Assault T,Hanamura W,Hanamura L,Hanamura t,Horizon W,Horizon L,Horizon T,Paris W,Paris L,Paris T,Temple W,Temple L,Temple T,Volskaya W,Volskaya L,Volskaya T,Control W,Control L,Control T,Busan W,Busan L,Busan T,Ilios W,Ilios L,Ilios T,Lijiang W,Lijiang L,Lijiang T,Nepal W,Nepal L,Nepal T,Oasis W,Oasis L,Oasis T,Escort W,Escort L,Escort T,Dorado W,Dorado L,Dorado T,Havana W,Havana L,Havana T,Junkertown W,Junkertown L,Junkertown T,Rialto W,Rialto L,Rialto T,Route 66 W,Route 66 L,Route 66 T,Watchpoint Gib W,Watchpoint Gib L,Watchpoint Gib T,Hybrid W,Hybrid L,Hybrid T,Blizzard World W,Blizzard World L,Blizzard World T,Eichenwalde W,Eichenwalde L,Eichenwalde T,Hollywood W,Hollywood L,Hollywood T,Kings Row W,Kings Row L,Kings Row T,Numbani W,Numbani L,Numbani T,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
D,Elusion,Team,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Elusion,Booth,Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--
