Tier,team1,team2,MapType,Map,Team1Score,Team2Score,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T2P1,T2P2,T2P3,T2P4,T2P5,T2P6
D,Elusion,Tough Luck,Control,Ilios,2,0,Ntsal,Player,Tucker,Honey,Legs,Klox,A,B,C,D,E,F
D,Elusion,Tough Luck,Assualt,Horizon,2,0,Ntsal,Player,Tucker,Honey,Legs,Klox,A,B,C,D,E,F
D,Elusion,Tough Luck,Hybrid,Blizzard World,3,0,Ntsal,Player,Tucker,Honey,Legs,Klox,A,B,C,D,E,F
D,Elusion,Tough Luck,Escort,Dorado,3,0,Ntsal,Player,Tucker,Honey,Legs,Klox,A,B,C,D,E,F
D,Elusion,Tough Luck,Final,,4,0,,,,,,,,,,,,
